,frame,match_strength
17_00_giorgos.wav 17_40_giorgos.wav,4014,318
17_00_giorgos.wav 17_40_nikos.wav,1684,231
17_00_giorgos.wav 17_40_stavros.wav,3777,222
17_00_giorgos.wav 18_10_dp.wav,3150,299
17_00_giorgos.wav 18_10_fil.wav,2746,283
17_00_giorgos.wav 18_10_giorgos.wav,1823,370
17_00_giorgos.wav 18_10_stavros.wav,1830,265
17_00_giorgos.wav 18_20_dp.wav,2826,280
17_00_giorgos.wav 18_20_fil.wav,1640,253
17_00_giorgos.wav 18_20_giorgos.wav,3055,276
17_00_giorgos.wav 18_20_nikos.wav,3231,286
17_00_giorgos.wav 18_20_stavros.wav,2048,242
17_00_giorgos.wav 18_30_dp.wav,3591,317
17_00_giorgos.wav 18_30_fil.wav,2324,243
17_00_giorgos.wav 18_30_giorgos.wav,2427,306
17_00_giorgos.wav 18_30_nikos.wav,2431,244
17_00_giorgos.wav 18_30_stavros.wav,2117,217
17_00_giorgos.wav 18_40_dp.wav,3510,330
17_00_giorgos.wav 18_40_fil.wav,2395,274
17_00_giorgos.wav 18_40_giorgos.wav,3462,280
17_00_giorgos.wav 18_40_nikos.wav,3161,320
17_00_giorgos.wav 18_40_stavros.wav,1872,265
17_00_giorgos.wav 18_50_dp.wav,3912,283
17_00_giorgos.wav 18_50_fil.wav,2245,235
17_00_giorgos.wav 18_50_giorgos.wav,4698,342
17_00_giorgos.wav 18_50_nikos.wav,2569,314
17_00_giorgos.wav 18_50_stavros.wav,2783,248
17_00_giorgos.wav 18_58_stavros.wav,3357,222
17_00_nikos.wav 17_00_stavros.wav,2744,580
17_00_nikos.wav 17_10_dp.wav,2586,317
17_00_nikos.wav 17_10_fil.wav,1725,228
17_00_nikos.wav 17_10_giorgos.wav,2092,339
17_00_nikos.wav 17_10_nikos.wav,2750,275
17_00_nikos.wav 17_10_stavros.wav,1788,307
17_00_nikos.wav 17_20_dp.wav,2830,276
17_00_nikos.wav 17_20_giorgos.wav,2983,285
17_00_nikos.wav 17_20_nikos.wav,2437,212
17_00_nikos.wav 17_20_stavros.wav,1783,230
17_00_nikos.wav 17_30_dp.wav,2856,266
17_00_nikos.wav 17_30_fil.wav,2502,257
17_00_nikos.wav 17_30_giorgos.wav,1768,295
17_00_nikos.wav 17_30_nikos.wav,2328,289
17_00_nikos.wav 17_30_stavros.wav,2175,229
17_00_nikos.wav 17_40_dp.wav,3135,252
