,frame,match_strength
17_00_giorgos.wav 17_40_giorgos.wav,4014,318.0
17_00_giorgos.wav 17_40_nikos.wav,1684,231.0
17_00_giorgos.wav 17_40_stavros.wav,3777,222.0
17_00_giorgos.wav 18_10_dp.wav,3150,299.0
17_00_giorgos.wav 18_10_fil.wav,2746,283.0
17_00_giorgos.wav 18_10_giorgos.wav,1823,370.0
17_00_giorgos.wav 18_10_stavros.wav,1830,265.0
17_00_giorgos.wav 18_20_dp.wav,2826,280.0
17_00_giorgos.wav 18_20_fil.wav,1640,253.0
17_00_giorgos.wav 18_20_giorgos.wav,3055,276.0
17_00_giorgos.wav 18_20_nikos.wav,3231,286.0
17_00_giorgos.wav 18_20_stavros.wav,2048,242.0
17_00_giorgos.wav 18_30_dp.wav,3591,317.0
17_00_giorgos.wav 18_30_fil.wav,2324,243.0
17_00_giorgos.wav 18_30_giorgos.wav,2427,306.0
17_00_giorgos.wav 18_30_nikos.wav,2431,244.0
17_00_giorgos.wav 18_30_stavros.wav,2117,217.0
17_00_giorgos.wav 18_40_dp.wav,3510,330.0
17_00_giorgos.wav 18_40_fil.wav,2395,274.0
17_00_giorgos.wav 18_40_giorgos.wav,3462,280.0
17_00_giorgos.wav 18_40_nikos.wav,3161,320.0
17_00_giorgos.wav 18_40_stavros.wav,1872,265.0
17_00_giorgos.wav 18_50_dp.wav,3912,283.0
17_00_giorgos.wav 18_50_fil.wav,2245,235.0
17_00_giorgos.wav 18_50_giorgos.wav,4698,342.0
17_00_giorgos.wav 18_50_nikos.wav,2569,314.0
17_00_giorgos.wav 18_50_stavros.wav,2783,248.0
17_00_giorgos.wav 18_58_stavros.wav,3357,222.0
17_00_nikos.wav 17_00_stavros.wav,2744,580.0
17_00_nikos.wav 17_10_dp.wav,2586,317.0
17_00_nikos.wav 17_10_fil.wav,1725,228.0
17_00_nikos.wav 17_10_giorgos.wav,2092,339.0
17_00_nikos.wav 17_10_nikos.wav,2750,275.0
17_00_nikos.wav 17_10_stavros.wav,1788,307.0
17_00_nikos.wav 17_20_dp.wav,2830,276.0
17_00_nikos.wav 17_20_giorgos.wav,2983,285.0
17_00_nikos.wav 17_20_nikos.wav,2437,212.0
17_00_nikos.wav 17_20_stavros.wav,1783,230.0
17_00_nikos.wav 17_30_dp.wav,2856,266.0
17_00_nikos.wav 17_30_fil.wav,2502,257.0
17_00_nikos.wav 17_30_giorgos.wav,1768,295.0
17_00_nikos.wav 17_30_nikos.wav,2328,289.0
17_00_nikos.wav 17_30_stavros.wav,2175,229.0
17_00_nikos.wav 17_40_dp.wav,3135,252.0
17_00_nikos.wav 17_40_fil.wav,2600,190.0
17_00_nikos.wav 17_40_giorgos.wav,3082,270.0
17_00_nikos.wav 17_40_nikos.wav,2792,268.0
17_00_nikos.wav 17_40_stavros.wav,2191,278.0
17_00_nikos.wav 18_10_dp.wav,3343,247.0
17_00_nikos.wav 18_10_fil.wav,1467,216.0
17_00_nikos.wav 18_10_giorgos.wav,3290,345.0
17_00_nikos.wav 18_10_stavros.wav,1509,270.0
17_00_nikos.wav 18_20_dp.wav,3227,252.0
17_00_nikos.wav 18_20_fil.wav,2479,253.0
17_00_nikos.wav 18_20_giorgos.wav,2847,292.0
17_00_nikos.wav 18_20_nikos.wav,2459,276.0
17_00_nikos.wav 18_20_stavros.wav,1154,265.0
17_00_nikos.wav 18_30_dp.wav,2978,280.0
17_00_nikos.wav 18_30_fil.wav,2718,245.0
17_00_nikos.wav 18_30_giorgos.wav,2874,329.0
17_00_nikos.wav 18_30_nikos.wav,1625,238.0
17_00_nikos.wav 18_30_stavros.wav,1837,242.0
17_00_nikos.wav 18_40_dp.wav,2665,286.0
17_00_nikos.wav 18_40_fil.wav,3161,220.0
17_00_nikos.wav 18_40_giorgos.wav,3977,244.0
17_00_nikos.wav 18_40_nikos.wav,3101,232.0
17_00_nikos.wav 18_40_stavros.wav,2654,250.0
17_00_nikos.wav 18_50_dp.wav,2927,286.0
17_00_nikos.wav 18_50_fil.wav,2774,251.0
17_00_nikos.wav 18_50_giorgos.wav,13851,348.0
17_00_nikos.wav 18_50_nikos.wav,2982,307.0
17_00_nikos.wav 18_50_stavros.wav,1903,204.0
17_00_nikos.wav 18_58_stavros.wav,2733,250.0
17_00_stavros.wav 17_10_dp.wav,2430,300.0
17_00_stavros.wav 17_10_fil.wav,1545,256.0
17_00_stavros.wav 17_10_giorgos.wav,1472,253.0
17_00_stavros.wav 17_10_nikos.wav,1205,192.0
17_00_stavros.wav 17_10_stavros.wav,1790,297.0
17_00_stavros.wav 17_20_dp.wav,3252,298.0
17_00_stavros.wav 17_20_giorgos.wav,2834,268.0
17_00_stavros.wav 17_20_nikos.wav,2472,253.0
17_00_stavros.wav 17_20_stavros.wav,2500,246.0
17_00_stavros.wav 17_30_dp.wav,2259,204.0
17_00_stavros.wav 17_30_fil.wav,1779,240.0
17_00_stavros.wav 17_30_giorgos.wav,2084,194.0
17_00_stavros.wav 17_30_nikos.wav,1960,196.0
17_00_stavros.wav 17_30_stavros.wav,1992,194.0
17_00_stavros.wav 17_40_dp.wav,2025,252.0
17_00_stavros.wav 17_40_fil.wav,2098,208.0
17_00_stavros.wav 17_40_giorgos.wav,2020,244.0
17_00_stavros.wav 17_40_nikos.wav,2420,248.0
17_00_stavros.wav 17_40_stavros.wav,2043,224.0
17_00_stavros.wav 18_10_dp.wav,2684,248.0
17_00_stavros.wav 18_10_fil.wav,1591,212.0
17_00_stavros.wav 18_10_giorgos.wav,2152,280.0
17_00_stavros.wav 18_10_stavros.wav,1992,228.0
17_00_stavros.wav 18_20_dp.wav,2056,364.0
17_00_stavros.wav 18_20_fil.wav,1832,245.0
17_00_stavros.wav 18_20_giorgos.wav,2142,268.0
17_00_stavros.wav 18_20_nikos.wav,2734,292.0
17_00_stavros.wav 18_20_stavros.wav,1873,240.0
17_00_stavros.wav 18_30_dp.wav,2735,254.0
17_00_stavros.wav 18_30_fil.wav,2266,248.0
17_00_stavros.wav 18_30_giorgos.wav,3105,258.0
17_00_stavros.wav 18_30_nikos.wav,1435,236.0
17_00_stavros.wav 18_30_stavros.wav,1816,223.0
17_00_stavros.wav 18_40_dp.wav,1818,283.0
17_00_stavros.wav 18_40_fil.wav,1794,183.0
17_00_stavros.wav 18_40_giorgos.wav,3056,209.0
17_00_stavros.wav 18_40_nikos.wav,2567,242.0
17_00_stavros.wav 18_40_stavros.wav,2274,198.0
17_00_stavros.wav 18_50_dp.wav,2894,244.0
17_00_stavros.wav 18_50_fil.wav,2755,203.0
17_00_stavros.wav 18_50_giorgos.wav,6848,298.0
17_00_stavros.wav 18_50_nikos.wav,2804,250.0
17_00_stavros.wav 18_50_stavros.wav,2329,202.0
17_00_stavros.wav 18_58_stavros.wav,1894,225.0
17_10_dp.wav 17_10_fil.wav,2010,464.0
17_10_dp.wav 17_10_giorgos.wav,1939,848.0
17_10_dp.wav 17_10_nikos.wav,2850,753.0
17_10_dp.wav 17_10_stavros.wav,1904,569.0
17_10_dp.wav 17_20_dp.wav,3502,367.0
17_10_dp.wav 17_20_giorgos.wav,3028,345.0
17_10_dp.wav 17_20_nikos.wav,3850,252.0
